feature,n,sorting policy,rank,prob
lexdiv,10,pin-pred-xgb_rt,32,0.001
lexdiv,10,pin-pred-xgb_rt,33,0.457
lexdiv,10,pin-pred-xgb_rt,34,0.502
lexdiv,10,pin-pred-xgb_rt,35,0.04
lexdiv,10,pos-abs_pinned_rh,17,1.0
lexdiv,10,pos-abs_pinned_rl,19,0.885
lexdiv,10,pos-abs_pinned_rl,20,0.112
lexdiv,10,pos-abs_pinned_rl,21,0.003
lexdiv,10,pos-abs_pinned_rt,45,0.001
lexdiv,10,pos-abs_pinned_rt,46,0.004
lexdiv,10,pos-abs_pinned_rt,47,0.411
lexdiv,10,pos-abs_pinned_rt,48,0.398
lexdiv,10,pos-abs_pinned_rt,49,0.154
lexdiv,10,pos-abs_pinned_rt,50,0.026
lexdiv,10,pos-abs_pinned_rt,51,0.006
lexdiv,10,pos-abs_rh,19,0.025
lexdiv,10,pos-abs_rh,20,0.365
lexdiv,10,pos-abs_rh,21,0.374
lexdiv,10,pos-abs_rh,22,0.236
lexdiv,10,pos-abs_rl,23,0.005
lexdiv,10,pos-abs_rl,24,0.923
lexdiv,10,pos-abs_rl,25,0.072
lexdiv,10,pos-abs_rt,50,0.005
lexdiv,10,pos-abs_rt,51,0.083
lexdiv,10,pos-abs_rt,52,0.105
lexdiv,10,pos-abs_rt,53,0.328
lexdiv,10,pos-abs_rt,54,0.248
lexdiv,10,pos-abs_rt,55,0.209
lexdiv,10,pos-abs_rt,56,0.022
lexdiv,10,pos-rel_pinned_rh,18,1.0
lexdiv,10,pos-rel_pinned_rl,20,0.294
lexdiv,10,pos-rel_pinned_rl,21,0.48
lexdiv,10,pos-rel_pinned_rl,22,0.225
lexdiv,10,pos-rel_pinned_rl,23,0.001
lexdiv,10,pos-rel_pinned_rt,47,0.108
lexdiv,10,pos-rel_pinned_rt,48,0.411
lexdiv,10,pos-rel_pinned_rt,49,0.361
lexdiv,10,pos-rel_pinned_rt,50,0.093
lexdiv,10,pos-rel_pinned_rt,51,0.021
lexdiv,10,pos-rel_pinned_rt,52,0.006
lexdiv,10,pos-rel_rh,21,0.001
lexdiv,10,pos-rel_rh,22,0.139
lexdiv,10,pos-rel_rh,23,0.859
lexdiv,10,pos-rel_rh,24,0.001
lexdiv,10,pos-rel_rl,25,0.494
lexdiv,10,pos-rel_rl,26,0.364
lexdiv,10,pos-rel_rl,27,0.113
lexdiv,10,pos-rel_rl,28,0.023
lexdiv,10,pos-rel_rl,29,0.006
lexdiv,10,pos-rel_rt,51,0.004
lexdiv,10,pos-rel_rt,52,0.033
lexdiv,10,pos-rel_rt,53,0.063
lexdiv,10,pos-rel_rt,54,0.251
lexdiv,10,pos-rel_rt,55,0.276
lexdiv,10,pos-rel_rt,56,0.373
lexdiv,10,pred-nb_pinned_rh,3,0.002
lexdiv,10,pred-nb_pinned_rh,4,0.998
lexdiv,10,pred-nb_pinned_rl,3,0.998
lexdiv,10,pred-nb_pinned_rl,4,0.002
lexdiv,10,pred-nb_pinned_rt,28,0.001
lexdiv,10,pred-nb_pinned_rt,29,0.003
lexdiv,10,pred-nb_pinned_rt,30,0.347
lexdiv,10,pred-nb_pinned_rt,31,0.298
lexdiv,10,pred-nb_pinned_rt,32,0.349
lexdiv,10,pred-nb_pinned_rt,33,0.002
lexdiv,10,pred-nb_rh,1,0.002
lexdiv,10,pred-nb_rh,2,0.998
lexdiv,10,pred-nb_rl,1,0.998
lexdiv,10,pred-nb_rl,2,0.002
lexdiv,10,pred-nb_rt,23,0.001
lexdiv,10,pred-nb_rt,24,0.064
lexdiv,10,pred-nb_rt,25,0.349
lexdiv,10,pred-nb_rt,26,0.35
lexdiv,10,pred-nb_rt,27,0.149
lexdiv,10,pred-nb_rt,28,0.068
lexdiv,10,pred-nb_rt,29,0.019
lexdiv,10,pred-xgb_pinned_rh,10,0.025
lexdiv,10,pred-xgb_pinned_rh,11,0.001
lexdiv,10,pred-xgb_pinned_rh,12,0.021
lexdiv,10,pred-xgb_pinned_rh,14,0.952
lexdiv,10,pred-xgb_pinned_rh,15,0.001
lexdiv,10,pred-xgb_pinned_rl,9,0.057
lexdiv,10,pred-xgb_pinned_rl,10,0.001
lexdiv,10,pred-xgb_pinned_rl,11,0.038
lexdiv,10,pred-xgb_pinned_rl,12,0.001
lexdiv,10,pred-xgb_pinned_rl,13,0.903
lexdiv,10,pred-xgb_pinned_rt,37,0.001
lexdiv,10,pred-xgb_pinned_rt,38,0.013
lexdiv,10,pred-xgb_pinned_rt,39,0.285
lexdiv,10,pred-xgb_pinned_rt,40,0.434
lexdiv,10,pred-xgb_pinned_rt,41,0.17
lexdiv,10,pred-xgb_pinned_rt,42,0.069
lexdiv,10,pred-xgb_pinned_rt,43,0.024
lexdiv,10,pred-xgb_pinned_rt,44,0.004
lexdiv,10,pred-xgb_rh,16,1.0
lexdiv,10,pred-xgb_rl,13,0.003
lexdiv,10,pred-xgb_rl,14,0.001
lexdiv,10,pred-xgb_rl,15,0.996
lexdiv,10,pred-xgb_rt,40,0.006
lexdiv,10,pred-xgb_rt,41,0.04
lexdiv,10,pred-xgb_rt,42,0.076
lexdiv,10,pred-xgb_rt,43,0.19
lexdiv,10,pred-xgb_rt,44,0.361
lexdiv,10,pred-xgb_rt,45,0.228
lexdiv,10,pred-xgb_rt,46,0.099
lexdiv,10,random_pinned_rh,26,0.003
lexdiv,10,random_pinned_rh,27,0.023
lexdiv,10,random_pinned_rh,28,0.136
lexdiv,10,random_pinned_rh,29,0.835
lexdiv,10,random_pinned_rh,30,0.003
lexdiv,10,random_pinned_rl,38,0.001
lexdiv,10,random_pinned_rl,39,0.019
lexdiv,10,random_pinned_rl,40,0.182
lexdiv,10,random_pinned_rl,41,0.437
lexdiv,10,random_pinned_rl,42,0.263
lexdiv,10,random_pinned_rl,43,0.079
lexdiv,10,random_pinned_rl,44,0.017
lexdiv,10,random_pinned_rl,45,0.002
lexdiv,10,random_pinned_rt,50,0.005
lexdiv,10,random_pinned_rt,51,0.06
lexdiv,10,random_pinned_rt,52,0.081
lexdiv,10,random_pinned_rt,53,0.291
lexdiv,10,random_pinned_rt,54,0.188
lexdiv,10,random_pinned_rt,55,0.258
lexdiv,10,random_pinned_rt,56,0.117
lexdiv,10,random_rh,46,0.007
lexdiv,10,random_rh,47,0.446
lexdiv,10,random_rh,48,0.099
lexdiv,10,random_rh,49,0.356
lexdiv,10,random_rh,50,0.087
lexdiv,10,random_rh,51,0.003
lexdiv,10,random_rh,52,0.002
lexdiv,10,random_rl,61,0.067
lexdiv,10,random_rl,62,0.8
lexdiv,10,random_rl,63,0.133
lexdiv,10,random_rt,58,0.013
lexdiv,10,random_rt,59,0.48
lexdiv,10,random_rt,60,0.473
lexdiv,10,random_rt,61,0.034
lexdiv,10,rev-chron_pinned_rh,25,0.017
lexdiv,10,rev-chron_pinned_rh,26,0.084
lexdiv,10,rev-chron_pinned_rh,27,0.234
lexdiv,10,rev-chron_pinned_rh,28,0.554
lexdiv,10,rev-chron_pinned_rh,29,0.11
lexdiv,10,rev-chron_pinned_rh,30,0.001
lexdiv,10,rev-chron_pinned_rl,37,0.02
lexdiv,10,rev-chron_pinned_rl,38,0.083
lexdiv,10,rev-chron_pinned_rl,39,0.578
lexdiv,10,rev-chron_pinned_rl,40,0.262
lexdiv,10,rev-chron_pinned_rl,41,0.049
lexdiv,10,rev-chron_pinned_rl,42,0.008
lexdiv,10,rev-chron_pinned_rt,43,0.005
lexdiv,10,rev-chron_pinned_rt,44,0.049
lexdiv,10,rev-chron_pinned_rt,45,0.199
lexdiv,10,rev-chron_pinned_rt,46,0.739
lexdiv,10,rev-chron_pinned_rt,47,0.007
lexdiv,10,rev-chron_pinned_rt,48,0.001
lexdiv,10,rev-chron_rh,39,0.011
lexdiv,10,rev-chron_rh,40,0.087
lexdiv,10,rev-chron_rh,41,0.218
lexdiv,10,rev-chron_rh,42,0.268
lexdiv,10,rev-chron_rh,43,0.269
lexdiv,10,rev-chron_rh,44,0.144
lexdiv,10,rev-chron_rh,45,0.003
lexdiv,10,rev-chron_rl,58,0.015
lexdiv,10,rev-chron_rl,59,0.481
lexdiv,10,rev-chron_rl,60,0.469
lexdiv,10,rev-chron_rl,61,0.035
lexdiv,10,rev-chron_rt,47,0.003
lexdiv,10,rev-chron_rt,48,0.024
lexdiv,10,rev-chron_rt,49,0.014
lexdiv,10,rev-chron_rt,50,0.177
lexdiv,10,rev-chron_rt,51,0.451
lexdiv,10,rev-chron_rt,52,0.215
lexdiv,10,rev-chron_rt,53,0.066
lexdiv,10,rev-chron_rt,54,0.035
lexdiv,10,rev-chron_rt,55,0.011
lexdiv,10,rev-chron_rt,56,0.004
sentcomp,10,chron_pinned_rh,4,0.011
sentcomp,10,chron_pinned_rh,5,0.083
sentcomp,10,chron_pinned_rh,6,0.141
sentcomp,10,chron_pinned_rh,7,0.163
sentcomp,10,chron_pinned_rh,8,0.173
sentcomp,10,chron_pinned_rh,9,0.132
sentcomp,10,chron_pinned_rh,10,0.087
sentcomp,10,chron_pinned_rh,11,0.053
sentcomp,10,chron_pinned_rh,12,0.058
sentcomp,10,chron_pinned_rh,13,0.029
sentcomp,10,chron_pinned_rh,14,0.015
sentcomp,10,chron_pinned_rh,15,0.021
sentcomp,10,chron_pinned_rh,16,0.011
sentcomp,10,chron_pinned_rh,17,0.009
sentcomp,10,chron_pinned_rh,18,0.006
sentcomp,10,chron_pinned_rh,19,0.005
sentcomp,10,chron_pinned_rh,20,0.002
sentcomp,10,chron_pinned_rh,24,0.001
sentcomp,10,chron_pinned_rl,4,0.006
sentcomp,10,chron_pinned_rl,5,0.07
sentcomp,10,chron_pinned_rl,6,0.138
sentcomp,10,chron_pinned_rl,7,0.181
sentcomp,10,chron_pinned_rl,8,0.181
sentcomp,10,chron_pinned_rl,9,0.128
sentcomp,10,chron_pinned_rl,10,0.093
sentcomp,10,chron_pinned_rl,11,0.05
sentcomp,10,chron_pinned_rl,12,0.043
sentcomp,10,chron_pinned_rl,13,0.034
sentcomp,10,chron_pinned_rl,14,0.028
sentcomp,10,chron_pinned_rl,15,0.016
sentcomp,10,chron_pinned_rl,16,0.012
sentcomp,10,chron_pinned_rl,17,0.008
sentcomp,10,chron_pinned_rl,18,0.005
sentcomp,10,chron_pinned_rl,19,0.002
sentcomp,10,chron_pinned_rl,20,0.003
sentcomp,10,chron_pinned_rl,21,0.001
sentcomp,10,chron_pinned_rl,23,0.001
sentcomp,10,chron_pinned_rt,3,0.005
sentcomp,10,chron_pinned_rt,4,0.025
sentcomp,10,chron_pinned_rt,5,0.208
sentcomp,10,chron_pinned_rt,6,0.188
sentcomp,10,chron_pinned_rt,7,0.19
sentcomp,10,chron_pinned_rt,8,0.122
sentcomp,10,chron_pinned_rt,9,0.087
sentcomp,10,chron_pinned_rt,10,0.058
sentcomp,10,chron_pinned_rt,11,0.044
sentcomp,10,chron_pinned_rt,12,0.017
sentcomp,10,chron_pinned_rt,13,0.023
sentcomp,10,chron_pinned_rt,14,0.012
sentcomp,10,chron_pinned_rt,15,0.006
sentcomp,10,chron_pinned_rt,16,0.007
sentcomp,10,chron_pinned_rt,17,0.003
sentcomp,10,chron_pinned_rt,18,0.002
sentcomp,10,chron_pinned_rt,19,0.001
sentcomp,10,chron_pinned_rt,20,0.001
sentcomp,10,chron_pinned_rt,21,0.001
sentcomp,10,chron_rh,2,0.285
sentcomp,10,chron_rh,3,0.524
sentcomp,10,chron_rh,4,0.155
sentcomp,10,chron_rh,5,0.027
sentcomp,10,chron_rh,6,0.003
sentcomp,10,chron_rh,7,0.003
sentcomp,10,chron_rh,8,0.003
sentcomp,10,chron_rl,2,0.606
sentcomp,10,chron_rl,3,0.314
sentcomp,10,chron_rl,4,0.062
sentcomp,10,chron_rl,5,0.013
sentcomp,10,chron_rl,6,0.005
sentcomp,10,chron_rt,2,0.068
sentcomp,10,chron_rt,3,0.112
sentcomp,10,chron_rt,4,0.604
sentcomp,10,chron_rt,5,0.128
sentcomp,10,chron_rt,6,0.055
sentcomp,10,chron_rt,7,0.018
sentcomp,10,chron_rt,8,0.006
sentcomp,10,chron_rt,9,0.004
sentcomp,10,chron_rt,10,0.002
sentcomp,10,chron_rt,11,0.003
sentcomp,10,least-neg-abs_pinned_rh,6,0.001
sentcomp,10,least-neg-abs_pinned_rh,7,0.002
sentcomp,10,least-neg-abs_pinned_rh,8,0.004
sentcomp,10,least-neg-abs_pinned_rh,9,0.011
sentcomp,10,least-neg-abs_pinned_rh,10,0.034
sentcomp,10,least-neg-abs_pinned_rh,11,0.035
sentcomp,10,least-neg-abs_pinned_rh,12,0.057
sentcomp,10,least-neg-abs_pinned_rh,13,0.052
sentcomp,10,least-neg-abs_pinned_rh,14,0.057
sentcomp,10,least-neg-abs_pinned_rh,15,0.054
sentcomp,10,least-neg-abs_pinned_rh,16,0.085
sentcomp,10,least-neg-abs_pinned_rh,17,0.082
sentcomp,10,least-neg-abs_pinned_rh,18,0.066
sentcomp,10,least-neg-abs_pinned_rh,19,0.079
sentcomp,10,least-neg-abs_pinned_rh,20,0.079
sentcomp,10,least-neg-abs_pinned_rh,21,0.07
sentcomp,10,least-neg-abs_pinned_rh,22,0.068
sentcomp,10,least-neg-abs_pinned_rh,23,0.064
sentcomp,10,least-neg-abs_pinned_rh,24,0.046
sentcomp,10,least-neg-abs_pinned_rh,25,0.025
sentcomp,10,least-neg-abs_pinned_rh,26,0.021
sentcomp,10,least-neg-abs_pinned_rh,27,0.003
sentcomp,10,least-neg-abs_pinned_rh,28,0.005
sentcomp,10,least-neg-abs_pinned_rl,11,0.003
sentcomp,10,least-neg-abs_pinned_rl,12,0.004
sentcomp,10,least-neg-abs_pinned_rl,13,0.006
sentcomp,10,least-neg-abs_pinned_rl,14,0.012
sentcomp,10,least-neg-abs_pinned_rl,15,0.006
sentcomp,10,least-neg-abs_pinned_rl,16,0.022
sentcomp,10,least-neg-abs_pinned_rl,17,0.02
sentcomp,10,least-neg-abs_pinned_rl,18,0.028
sentcomp,10,least-neg-abs_pinned_rl,19,0.025
sentcomp,10,least-neg-abs_pinned_rl,20,0.048
sentcomp,10,least-neg-abs_pinned_rl,21,0.056
sentcomp,10,least-neg-abs_pinned_rl,22,0.069
sentcomp,10,least-neg-abs_pinned_rl,23,0.083
sentcomp,10,least-neg-abs_pinned_rl,24,0.101
sentcomp,10,least-neg-abs_pinned_rl,25,0.123
sentcomp,10,least-neg-abs_pinned_rl,26,0.151
sentcomp,10,least-neg-abs_pinned_rl,27,0.131
sentcomp,10,least-neg-abs_pinned_rl,28,0.066
sentcomp,10,least-neg-abs_pinned_rl,29,0.026
sentcomp,10,least-neg-abs_pinned_rl,30,0.007
sentcomp,10,least-neg-abs_pinned_rl,31,0.007
sentcomp,10,least-neg-abs_pinned_rl,32,0.003
sentcomp,10,least-neg-abs_pinned_rl,33,0.001
sentcomp,10,least-neg-abs_pinned_rl,39,0.002
sentcomp,10,least-neg-abs_pinned_rt,41,0.001
sentcomp,10,least-neg-abs_pinned_rt,42,0.002
sentcomp,10,least-neg-abs_pinned_rt,43,0.001
sentcomp,10,least-neg-abs_pinned_rt,45,0.001
sentcomp,10,least-neg-abs_pinned_rt,46,0.001
sentcomp,10,least-neg-abs_pinned_rt,47,0.003
sentcomp,10,least-neg-abs_pinned_rt,48,0.01
sentcomp,10,least-neg-abs_pinned_rt,49,0.008
sentcomp,10,least-neg-abs_pinned_rt,50,0.019
sentcomp,10,least-neg-abs_pinned_rt,51,0.057
sentcomp,10,least-neg-abs_pinned_rt,52,0.635
sentcomp,10,least-neg-abs_pinned_rt,53,0.206
sentcomp,10,least-neg-abs_pinned_rt,54,0.037
sentcomp,10,least-neg-abs_pinned_rt,55,0.01
sentcomp,10,least-neg-abs_pinned_rt,56,0.009
sentcomp,10,least-neg-abs_rh,2,0.039
sentcomp,10,least-neg-abs_rh,3,0.035
sentcomp,10,least-neg-abs_rh,4,0.11
sentcomp,10,least-neg-abs_rh,5,0.334
sentcomp,10,least-neg-abs_rh,6,0.14
sentcomp,10,least-neg-abs_rh,7,0.09
sentcomp,10,least-neg-abs_rh,8,0.118
sentcomp,10,least-neg-abs_rh,9,0.054
sentcomp,10,least-neg-abs_rh,10,0.032
sentcomp,10,least-neg-abs_rh,11,0.015
sentcomp,10,least-neg-abs_rh,12,0.01
sentcomp,10,least-neg-abs_rh,13,0.006
sentcomp,10,least-neg-abs_rh,14,0.001
sentcomp,10,least-neg-abs_rh,15,0.006
sentcomp,10,least-neg-abs_rh,16,0.006
sentcomp,10,least-neg-abs_rh,17,0.002
sentcomp,10,least-neg-abs_rh,18,0.001
sentcomp,10,least-neg-abs_rh,23,0.001
sentcomp,10,least-neg-abs_rl,3,0.006
sentcomp,10,least-neg-abs_rl,4,0.009
sentcomp,10,least-neg-abs_rl,5,0.041
sentcomp,10,least-neg-abs_rl,6,0.186
sentcomp,10,least-neg-abs_rl,7,0.128
sentcomp,10,least-neg-abs_rl,8,0.083
sentcomp,10,least-neg-abs_rl,9,0.162
sentcomp,10,least-neg-abs_rl,10,0.098
sentcomp,10,least-neg-abs_rl,11,0.074
sentcomp,10,least-neg-abs_rl,12,0.056
sentcomp,10,least-neg-abs_rl,13,0.04
sentcomp,10,least-neg-abs_rl,14,0.03
sentcomp,10,least-neg-abs_rl,15,0.019
sentcomp,10,least-neg-abs_rl,16,0.016
sentcomp,10,least-neg-abs_rl,17,0.01
sentcomp,10,least-neg-abs_rl,18,0.017
sentcomp,10,least-neg-abs_rl,19,0.009
sentcomp,10,least-neg-abs_rl,20,0.003
sentcomp,10,least-neg-abs_rl,21,0.008
sentcomp,10,least-neg-abs_rl,22,0.002
sentcomp,10,least-neg-abs_rl,23,0.001
sentcomp,10,least-neg-abs_rl,24,0.001
sentcomp,10,least-neg-abs_rl,25,0.001
sentcomp,10,least-neg-abs_rt,1,1.0
sentcomp,10,neg-abs_pinned_rh,52,0.007
sentcomp,10,neg-abs_pinned_rh,53,0.034
sentcomp,10,neg-abs_pinned_rh,54,0.146
sentcomp,10,neg-abs_pinned_rh,55,0.418
sentcomp,10,neg-abs_pinned_rh,56,0.394
sentcomp,10,neg-abs_pinned_rh,59,0.001
sentcomp,10,neg-abs_pinned_rl,52,0.013
sentcomp,10,neg-abs_pinned_rl,53,0.026
sentcomp,10,neg-abs_pinned_rl,54,0.14
sentcomp,10,neg-abs_pinned_rl,55,0.437
sentcomp,10,neg-abs_pinned_rl,56,0.384
sentcomp,10,neg-abs_pinned_rt,26,0.001
sentcomp,10,neg-abs_pinned_rt,28,0.003
sentcomp,10,neg-abs_pinned_rt,29,0.004
sentcomp,10,neg-abs_pinned_rt,30,0.008
sentcomp,10,neg-abs_pinned_rt,31,0.007
sentcomp,10,neg-abs_pinned_rt,32,0.033
sentcomp,10,neg-abs_pinned_rt,33,0.013
sentcomp,10,neg-abs_pinned_rt,34,0.023
sentcomp,10,neg-abs_pinned_rt,35,0.021
sentcomp,10,neg-abs_pinned_rt,36,0.036
sentcomp,10,neg-abs_pinned_rt,37,0.043
sentcomp,10,neg-abs_pinned_rt,38,0.048
sentcomp,10,neg-abs_pinned_rt,39,0.043
sentcomp,10,neg-abs_pinned_rt,40,0.07
sentcomp,10,neg-abs_pinned_rt,41,0.078
sentcomp,10,neg-abs_pinned_rt,42,0.076
sentcomp,10,neg-abs_pinned_rt,43,0.066
sentcomp,10,neg-abs_pinned_rt,44,0.065
sentcomp,10,neg-abs_pinned_rt,45,0.069
sentcomp,10,neg-abs_pinned_rt,46,0.065
sentcomp,10,neg-abs_pinned_rt,47,0.068
sentcomp,10,neg-abs_pinned_rt,48,0.057
sentcomp,10,neg-abs_pinned_rt,49,0.052
sentcomp,10,neg-abs_pinned_rt,50,0.038
sentcomp,10,neg-abs_pinned_rt,51,0.013
sentcomp,10,neg-abs_rh,57,0.097
sentcomp,10,neg-abs_rh,58,0.122
sentcomp,10,neg-abs_rh,59,0.052
sentcomp,10,neg-abs_rh,60,0.066
sentcomp,10,neg-abs_rh,61,0.315
sentcomp,10,neg-abs_rh,62,0.34
sentcomp,10,neg-abs_rh,63,0.002
sentcomp,10,neg-abs_rh,64,0.006
sentcomp,10,neg-abs_rl,57,0.145
sentcomp,10,neg-abs_rl,58,0.098
sentcomp,10,neg-abs_rl,59,0.054
sentcomp,10,neg-abs_rl,60,0.05
sentcomp,10,neg-abs_rl,61,0.31
sentcomp,10,neg-abs_rl,62,0.335
